shot_id,loc_x,loc_y,shot_distance,shot_zone_area,playoffs,period,minutes_remaining,seconds_remaining,shot_type,action_type,t1,t2,t3,t4,t5,t6
1,167,72,18,1,0,1,10,27,2,0,1,0,0,0,0,0
2,-157,0,15,3,0,1,10,22,2,0,1,0,0,0,0,0
3,-101,135,16,4,0,1,7,45,2,0,1,0,0,0,0,0
4,138,175,22,2,0,1,6,52,2,0,1,0,0,0,0,0
6,-145,-11,14,3,0,3,9,32,2,0,1,0,0,0,0,0
8,1,28,2,0,0,3,8,5,2,0,1,0,0,0,0,0
9,-65,108,12,3,0,3,6,12,2,0,1,0,0,0,0,0
11,-94,238,25,4,0,3,1,56,3,0,1,0,0,0,0,0
12,121,127,17,2,0,1,11,0,2,0,1,0,0,0,0,0
14,-94,4,9,3,0,1,2,44,2,0,1,0,0,0,0,0
15,-23,47,5,0,0,1,1,16,2,0,1,0,0,0,0,0
16,62,192,20,0,0,1,0,48,2,0,1,0,0,0,0,0
18,-117,226,25,4,0,2,8,50,3,0,1,0,0,0,0,0
19,-132,97,16,4,0,3,11,29,2,0,1,0,0,0,0,0
21,3,144,14,0,0,3,10,8,2,0,1,0,0,0,0,0
22,134,127,18,2,0,3,9,4,2,0,1,0,0,0,0,0
27,-58,196,20,0,0,3,2,4,2,0,1,0,0,0,0,0
28,-183,186,26,4,0,3,0,30,3,0,1,0,0,0,0,0
7,0,0,0,0,0,3,8,52,2,1,0,1,0,0,0,0
10,-33,125,12,0,0,3,3,36,2,1,0,1,0,0,0,0
13,-67,110,12,3,0,1,7,9,2,1,0,1,0,0,0,0
17,0,0,0,0,0,1,0,1,2,1,0,1,0,0,0,0
20,0,0,0,0,0,3,10,46,2,1,0,1,0,0,0,0
23,-16,110,11,0,0,3,7,57,2,1,0,1,0,0,0,0
24,-109,150,18,4,0,3,5,47,2,1,0,1,0,0,0,0
25,-46,63,7,0,0,3,5,11,2,1,0,1,0,0,0,0
26,0,0,0,0,0,3,2,36,2,1,0,1,0,0,0,0
31,121,4,12,1,0,4,1,20,2,1,0,1,0,0,0,0
35,1,19,1,0,0,1,7,33,2,1,0,1,0,0,0,0
36,-12,15,1,0,0,1,5,58,2,1,0,1,0,0,0,0
37,1,4,0,0,0,1,4,9,2,1,0,1,0,0,0,0
42,7,4,0,0,0,3,10,13,2,1,0,1,0,0,0,0
45,-12,19,2,0,0,3,4,29,2,1,0,1,0,0,0,0
46,-4,4,0,0,0,3,3,21,2,1,0,1,0,0,0,0
51,1,9,0,0,0,4,1,8,2,1,0,1,0,0,0,0
5,0,0,0,0,0,2,6,19,2,2,0,0,1,0,0,0
47,-4,4,0,0,0,3,2,55,2,2,0,0,1,0,0,0
48,1,9,0,0,0,3,2,38,2,2,0,0,1,0,0,0
59,0,0,0,0,0,2,4,5,2,2,0,0,1,0,0,0
70,0,0,0,0,0,1,7,1,2,2,0,0,1,0,0,0
84,-8,4,0,0,0,1,10,59,2,2,0,0,1,0,0,0
102,-1,0,0,0,0,3,7,53,2,2,0,0,1,0,0,0
118,0,0,0,0,0,1,3,2,2,2,0,0,1,0,0,0
122,0,0,0,0,0,2,8,18,2,2,0,0,1,0,0,0
139,0,0,0,0,0,4,3,28,2,2,0,0,1,0,0,0
159,0,0,0,0,0,3,3,53,2,2,0,0,1,0,0,0
160,0,0,0,0,0,3,0,37,2,2,0,0,1,0,0,0
163,0,0,0,0,0,4,10,11,2,2,0,0,1,0,0,0
165,0,0,0,0,0,4,5,32,2,2,0,0,1,0,0,0
209,0,0,0,0,0,4,7,10,2,2,0,0,1,0,0,0
216,0,0,0,0,0,1,3,10,2,2,0,0,1,0,0,0
117,0,0,0,0,0,1,9,21,2,3,0,0,0,1,0,0
142,0,0,0,0,0,4,1,3,2,3,0,0,0,1,0,0
156,0,0,0,0,0,2,0,26,2,3,0,0,0,1,0,0
387,0,0,0,0,0,3,0,0,2,3,0,0,0,1,0,0
423,0,0,0,0,0,1,7,27,2,3,0,0,0,1,0,0
660,0,0,0,0,0,1,0,45,2,3,0,0,0,1,0,0
926,0,0,0,0,0,1,2,54,2,3,0,0,0,1,0,0
964,0,0,0,0,0,4,2,6,2,3,0,0,0,1,0,0
1022,0,0,0,0,0,2,5,51,2,3,0,0,0,1,0,0
1051,0,0,0,0,0,2,4,13,2,3,0,0,0,1,0,0
1271,0,0,0,0,0,1,6,42,2,3,0,0,0,1,0,0
1278,0,0,0,0,0,3,11,36,2,3,0,0,0,1,0,0
1385,0,0,0,0,0,2,5,57,2,3,0,0,0,1,0,0
1569,0,0,0,0,0,4,6,33,2,3,0,0,0,1,0,0
1701,0,0,0,0,0,1,3,35,2,3,0,0,0,1,0,0
1702,0,0,0,0,0,1,3,33,2,3,0,0,0,1,0,0
145,0,0,0,0,0,1,3,8,2,4,0,0,0,0,1,0
182,0,0,0,0,0,4,11,44,2,4,0,0,0,0,1,0
195,0,0,0,0,0,1,4,9,2,4,0,0,0,0,1,0
243,0,0,0,0,0,2,10,17,2,4,0,0,0,0,1,0
245,0,0,0,0,0,2,3,34,2,4,0,0,0,0,1,0
279,0,0,0,0,0,1,5,17,2,4,0,0,0,0,1,0
290,-56,21,5,0,0,3,2,15,2,4,0,0,0,0,1,0
561,0,0,0,0,0,1,6,3,2,4,0,0,0,0,1,0
638,0,0,0,0,0,2,6,21,2,4,0,0,0,0,1,0
650,0,0,0,0,0,4,7,33,2,4,0,0,0,0,1,0
670,0,0,0,0,0,3,5,51,2,4,0,0,0,0,1,0
719,0,0,0,0,0,1,2,51,2,4,0,0,0,0,1,0
752,0,0,0,0,0,4,3,50,2,4,0,0,0,0,1,0
799,0,0,0,0,0,4,6,53,2,4,0,0,0,0,1,0
840,0,0,0,0,0,2,2,28,2,4,0,0,0,0,1,0
954,0,0,0,0,0,3,10,30,2,4,0,0,0,0,1,0
966,0,0,0,0,0,4,0,38,2,4,0,0,0,0,1,0
1062,0,0,0,0,0,3,2,57,2,4,0,0,0,0,1,0
1077,0,0,0,0,0,3,8,1,2,4,0,0,0,0,1,0
1078,0,0,0,0,0,3,7,30,2,4,0,0,0,0,1,0
124,0,0,0,0,0,2,0,30,2,5,0,0,0,0,0,1
1238,0,0,0,0,0,1,7,55,2,5,0,0,0,0,0,1
1330,94,2,9,1,0,5,4,48,2,5,0,0,0,0,0,1
2239,85,0,8,1,0,4,7,11,2,5,0,0,0,0,0,1
2371,62,-8,6,0,0,1,1,19,2,5,0,0,0,0,0,1
2544,1,70,7,0,0,2,1,13,2,5,0,0,0,0,0,1
2551,64,82,10,1,0,4,9,24,2,5,0,0,0,0,0,1
2764,-27,80,8,0,0,2,1,12,2,5,0,0,0,0,0,1
2816,-124,63,13,3,0,2,10,32,2,5,0,0,0,0,0,1
2860,43,34,5,0,0,4,3,8,2,5,0,0,0,0,0,1
3285,-5,17,1,0,0,3,8,37,2,5,0,0,0,0,0,1
4483,79,192,20,2,0,1,9,41,2,5,0,0,0,0,0,1
4542,10,68,6,0,0,2,9,33,2,5,0,0,0,0,0,1
